word,instances
דהאי,233
מסייע,233
תאכל,233
האיש,233
הואי,232
מייתי,232
עבדו,232
מצא,232
חי,231
קרן,231
כאחד,231
פטורין,231
הדיוט,231
נחמני,230
נח,230
מנחת,230
מקצת,230
טרפון,230
רשע,230
במים,230
מיהא,230
ראוי,230
אתמר,229
חצר,229
מיחייב,229
ימות,229
אותם,229
שתהא,229
וכיון,228
חובה,228
מיני,228
מקרא,227
גב,227
בקר,227
הללו,227
כתובתה,227
הלך,227
מוציא,227
ליתן,226
סמוך,226
רואה,225
שבע,225
אוסר,224
סוכה,223
לבעל,223
ושני,223
גזרו,223
והיינו,223
נפל,222
גנב,222
נמצא,222
בעית,221
בניו,221
החמה,221
ממזר,221
הנך,220
הבעל,220
לנו,220
המנונא,220
ענין,220
יאמר,220
ונאמר,220
במזיד,219
בור,219
לבא,219
בחד,219
שלמה,219
איזהו,219
בגדים,218
בשוגג,218
ק"ו,218
עץ,218
אבר,218
מרובה,217
ואידי,217
יצאו,217
אלמנה,217
ליום,217
והלכתא,217
הדדי,217
עצמן,217
פיגול,217
אומרת,216
שאתה,216
קל,216
שמעת,216
הכפורים,216
תצא,216
לבן,215
זכאי,215
הגדול,215
בנה,215
לדידי,214
אברהם,214
פלגא,214
ה"מ,214
חרש,214
אש,213
איריא,212
דכתב,212
מערבין,211
כהונה,211
ממקום,211
שיצא,211
מערב,210
רבין,210
חסר,210
בפסח,210
המת,210
בעיא,210
תהיה,209
ספר,209
כבוד,209
מלוה,209
מרב,209
לכתחלה,209
הדבר,209
אמור,208
בשאר,208
אנו,208
לכו,207
דעת,207
צריכין,207
וקאמר,207
בישראל,207
זהו,206
קיימא,206
שיהו,206
חורין,206
פוסל,205
השוחט,205
הגוף,205
תמורה,205
לעבודה,205
מאמר,205
שער,205
לשמו,204
ממנה,204
פעם,204
מאתים,204
לשמה,203
דעתיה,203
בסוף,203
מצטרפין,202
דוחה,202
ואתא,201
ע"י,201
זית,201
נקבה,201
בתי,201
שרץ,201
לחזור,201
להוציא,201
עדות,200
ה"ק,200
בשדה,200
צדיק,200
זבח,200
ור"ש,200
הלחם,200
חנן,199
נכסים,199
גבוה,199
למקום,199
דאתי,199
מניין,199
תלוי,199
אילו,199
מחיצה,198
פוטר,198
זכה,198
קורין,198
מדרבנן,198
בעולם,198
ותנן,198
אחריו,198
יתן,197
קורא,197
בתחלה,197
עמד,197
תלמיד,196
מצינו,196
נדרים,196
ולאו,195
הולך,195
להאי,195
שהיתה,195
קלים,195
והיו,195
נפשות,194
עזריה,194
הייתי,194
כרב,194
תשלומי,194
חמשים,193
פנים,193
מצרים,193
זקן,193
יושב,193
וזו,192
שלישי,192
ביו"ט,192
לילה,192
נחלקו,191
מפי,191
ומשום,191
יחזיר,191
ומחצה,191
בשתי,191
עמי,191
רשאי,191
אחי,190
שמת,190
ותנא,190
ומותר,190
טובא,190
קודש,189
עוף,189
יהו,189
בכסף,189
לבני,188
דבריו,188
זריקה,188
תשעה,188
מחצה,188
משנה,188
דהוו,187
ידענא,187
כרבנן,187
ספרא,187
כותבין,186
לוקח,186
קדושה,186
בבל,186
כיוצא,186
מכשיר,186
מבחוץ,186
בבת,185
בשטר,185
שלם,185
למי,184
באכילה,184
בראש,184
חמה,184
דרבה,184
מטמאה,184
גזל,184
מטמאין,183
עון,183
אהל,183
זביד,183
גופה,183
לצורך,183
היתר,182
גופו,182
בפניו,182
סלע,182
בנות,182
אזיל,182
לאיש,182
מעילה,182
תורת,182
ושתי,181
עירוב,181
קונה,181
מלכות,181
השמים,181
לפניך,181
בידך,181
זימנא,181
בשלשה,181
ניהו,181
עבר,180
חלה,180
מכפר,179
רבינו,179
בטל,179
שעל,179
וכולן,179
טמאין,179
נבלה,179
ואף,178
באין,178
מומין,178
ר"נ,178
תלת,178
כדברי,178
פת,177
דמה,177
ונמצא,177
חליצה,177
מבפנים,177
נוהג,177
וחמשה,177
השם,177
צדקה,177
אמן,177
שמיה,177
שקיל,177
אמורים,176
סתמא,176
נא,176
בהנאה,176
עלייהו,176
יתר,176
קנין,176
באמצע,176
קרוב,175
תשובה,175
פרי,175
הולד,175
הבן,175
ולימא,175
המוכר,174
לאשה,174
ילדה,174
רובא,174
מדקתני,174
עדיף,174
גופיה,174
נסכים,174
באו,174
חלק,174
לאחד,174
הכלל,174
הבהמה,174
דאפילו,173
בחצר,173
ודם,173
מהא,173
לכתוב,173
פסולין,173
אמרתי,173
וליכא,173
עבירה,173
ליתני,173
מטה,173
צדיקים,173
מחבירו,173
ואתי,173
שעשה,173
אייתי,172
נקרא,172
ידים,172
להכי,172
אלה,171
שמונה,171
ויצא,171
לחומרא,171
חמורה,171
עמך,171
נזירות,171
כתוב,171
סאה,171
לעצמו,170
דעלמא,170
דכל,170
כאשר,170
חשיב,170
לבר,170
שבתורה,170
בלשון,169
ידיה,169
בשל,169
האדם,169
דאמרת,169
כמין,169
בבהמה,169
המוציא,168
בדין,168
אנשי,168
מוסיף,168
ואמרה,168
בחזקת,168
ונותן,167
יבם,167
אכלה,167
בד"א,167
גיסא,167
דאילו,167
משקין,167
הגיע,166
קידושין,166
שוטה,166
דכ"ע,166
שבהן,166
בעיר,166
במקדש,166
בזו,166
דיקא,166
יהיו,165
יוצאין,165
בערב,165
פה,165
שעיר,165
כולם,165
קשה,165
נהי,165
יוצאה,165
אימר,165
אילן,165
שאינן,165
ואשם,165
לשמן,165
כעין,164
אלהיך,164
בירושלים,164
תן,164
כתנאי,164
ורמינהו,164
קראי,164
מלכא,164
חג,163
ב"ה,163
רוצה,162
ובני,162
חייבי,162
מוציאין,162
חנם,162
כחו,162
דוקא,162
מטלטלין,162
חוששין,162
אדעתא,161
איקלע,161
באה,161
בל,161
המטה,161
כוליה,161
חוטא,161
בחדא,161
וארבעה,160
דעבד,160
מצה,160
אבי,160
שמיע,159
אשכחן,159
פניו,159
ישן,159
הנה,159
באשה,159
משיח,159
לפנים,159
כדתניא,158
לשמואל,158
קרב,158
הכנסת,158
מקיים,158
לבו,158
אחות,158
נפשך,158
אינהו,157
דגים,157
ידיעה,157
ואסור,157
לרבה,157
אמימר,157
עפר,157
מכה,157
טהורין,157
שחל,157
האמור,156
בקדשים,156
עולת,156
קלא,156
באדם,156
שעת,156
מחשבה,156
כדרך,156
כלאים,156
כריתות,156
ממונא,155
הבאה,155
בתים,155
רגל,155
בחול,155
אנשים,155
בעו,155
השני,155
מרבה,155
ה"ז,155
אימתי,155
עיניו,155
ותני,154
דאמרינן,154
האם,154
רביעית,154
עילויה,154
וסיפא,153
בך,153
מרבנן,153
תחתיו,153
שחט,153
עבדים,153
דידן,153
ברה"ר,152
מחוסר,152
חבית,152
שליש,152
דא"ל,152
מיהת,152
חזיא,152
ולמה,152
חזר,152
זוז,151
גמירי,151
מזונות,151
הך,151
לאכילה,151
נדבה,151
מתו,150
שמעתא,150
סליק,150
ובעל,150
לאחרים,150
אימת,150
ורמינהי,150
מתי,150
גם,150
אחריות,150
דיני,150
ושמע,150
הי,150
כדרב,149
אבן,149
צמר,149
זימנין,149
גדולים,149
שומעין,149
אבות,149
מישראל,149
נשבע,149
יאשיה,149
מחזירין,149
היחיד,149
שילא,149
לשני,149
זר,149
מתים,149
כ"ש,148
זבין,148
הלכך,148
חול,148
משני,148
אלף,148
תלמידי,148
טהרה,148
אהדדי,147
תפלה,147
יאמרו,147
בהדיה,147
אצלו,147
לההוא,147
עמהן,147
גיטא,147
נושא,147
אזלינן,147
מבוי,147
דמתני,146
איידי,146
יולדת,146
בחלב,146
הגשמים,146
רעה,146
ויתיב,146
תם,145
ריבה,145
וחייב,145
בראשונה,145
סד"א,145
לכהנים,145
קאמרי,145
אמת,145
לעבודת,145
נפק,145
שפחה,145
עוקבא,144
שלה,144
מעוברת,144
תחלה,144
למשה,144
הרואה,144
נכסי,144
היין,144
לכדתניא,144
רואין,143
ודילמא,143
כסא,143
באותה,143
בארבעה,143
איפכא,143
מהלך,143
הצד,143
אבידה,143
בעדים,143
קטנים,143
דינו,143
הביא,143
אכיל,143
סהדי,143
גזרה,143
ואליבא,143
תוך,143
לעת,142
מרבי,142
שלי,142
ציבור,142
נפיק,141
מתירין,141
עובדא,141
ואזיל,141
חזו,141
נאכל,141
והשתא,140
נשא,140
טובים,140
בידיה,140
מקבל,140
אליהו,140
במעשר,140
וחדא,140
הראשונים,140
שמעתי,140
אסיפא,140
בתירא,140
רגלים,140
קונם,140
בעינא,140
אור,140
האמר,139
יומי,139
לחולין,139
טעונה,139
טבל,139
בדק,139
המקום,139
נשיא,139
סברא,139
משם,139
טעונין,139
שותה,139
שכיר,139
שרת,139
אגב,139
דינר,139
שלך,138
אלפים,138
רשעים,138
במתנה,138
יוציא,138
העולה,138
במועד,138
הרגל,138
מעכב,138
באש,138
כר"ש,138
לפלוני,138
אונאה,138
שכבר,137
מתנות,137
ושנים,137
שירה,137
שקל,137
לקבל,137
עין,137
חל,137
במערבא,137
ואתה,137
בימות,137
בשמן,137
צדוק,136
עולין,136
בטומאה,136
שיכול,136
במינו,136
שטרא,136
והלך,135
בשרו,135
מהאי,135
שומע,135
חטין,135
ואע"ג,135
ופרט,135
תמיד,134
הויין,134
ואוכל,134
צא,134
הקדוש,134
נותר,133
כדאמר,133
קדושת,133
הראשונה,133
ראויה,133
הכלים,133
י',133
לב,133
מדברי,132
במדבר,132
אשכחיה,132
דמן,132
דאביי,132
באחת,132
כלה,132
ובת,132
גרושה,132
הטומאה,132
רבש"ע,132
וחייבין,132
קרחה,132
ר"ג,132
טבילה,132
כוס,131
השדה,131
זכרים,131
חרס,131
אחותו,131
וסבר,131
אזלא,131
שימי,131
יונה,131
קדושין,131
הבשר,131
וקטן,131
ומתה,131
לכך,131
אוכלת,130
שוחטין,130
חובתו,130
מדת,130
היוצא,130
הרע,130
בטלה,130
דידה,130
ומעשר,130
הבאין,130
אח,130
הפר,130
גשמים,130
לטמא,130
למפרע,130
לשבת,130
נורי,129
ע"ז,129
טובה,129
הר,129
נטמא,129
בצפון,129
מאחר,129
בחיי,129
לצאת,129
הניח,129
עזאי,128
יטמא,128
חומר,128
ע"ג,128
דעתו,128
האידנא,128
כבשים,128
בעבודה,128
קפרא,128
הימנה,128
מותרות,128
לחצר,127
ושלשה,127
שתיהן,127
דידי,127
יליף,127
הפנים,127
נערה,127
שייר,127
שדי,127
חולץ,127
סגי,127
מעליא,127
הראש,126
ע"פ,126
הקדשים,126
אלהי,126
חומש,126
רובו,126
דוסא,126
לקולא,126
שבעים,126
בשחיטה,126
בדם,126
במי,126
ואכל,126
לאיתויי,126
דן,126
קלה,126
לרבינא,126
ערוה,125
ישא,125
מצית,125
וחצי,125
מלח,125
זונה,125
כפר,125
עצם,125
והאיכא,125
ירדו,125
עלו,125
עבדינן,125
והוה,125
ובן,125
בהאי,125
קיימי,125
לעמוד,125
פורתא,125
חטאות,124
טענת,124
והביא,124
שעות,124
מבעי,124
ביצה,124
נסך,124
שכיב,124
מקח,124
תיהוי,124
אחין,124
בראשון,123
בנכסי,123
מוצא,123
סכין,123
מלמעלה,123
חצות,123
שבעת,123
בשבועה,123
ראשי,123
צריכי,123
שניהן,123
הראוי,123
קרו,123
כמי,123
דמעיקרא,123
מניח,123
מיתת,123
קבע,123
מתן,122
ששים,122
הלילה,122
בכדי,122
שכינה,122
כתיבי,122
באומר,122
בבקר,122
דהוי,122
נחש,122
הב,122
סלעים,122
הכסא,122
כלפי,122
ומודה,121
העושה,121
מטא,121
חיננא,121
יצתה,121
מלתא,121
והיתה,121
בדקה,121
השוה,121
לתוכו,121
ה"ד,121
קמייתא,121
זב,121
מקמי,121
דקאי,121
כשירה,120
ביין,120
תאכלו,120
כדרכה,120
תרומת,120
י"ב,120
המצות,120
נכסיו,120
כשרין,120
דמאן,120
מעין,119
כתבו,119
שה,119
ביניהן,119
חנניה,119
בסקילה,119
בהדיא,119
בתולה,119
ידעי,119
מחזיר,119
השור,119
ושחט,119
האוכל,119
ויוצא,119
לוה,118
גזר,118
וא"ל,118
מעת,118
שנשא,118
דיין,118
כפל,118
קאמרינן,118
לערב,118
מדרשא,118
האחרון,118
מיום,118
מברכין,118
שבו,118
לחבריה,118
הערבים,117
וכתב,117
דת"ר,117
שינוי,117
לאלתר,117
ביבי,117
משרשיא,117
שחרית,117
לוקין,117
פרס,117
מקבלין,117
לגוי,117
היכן,117
משפט,117
וצריכא,117
עומדת,117
יוכיח,116
ירד,116
ברכת,116
בידוע,116
לסוף,116
ממך,116
איבעי,116
קידש,116
דמאי,116
סוטה,116
גוונא,116
שנתן,116
דעביד,116
גידל,116
שדהו,116
עשירי,116
מהני,115
אבנים,115
ביני,115
תקנתא,115
ארוסה,115
פטר,115
קבוע,115
ניהליה,115
שאי,115
בשוק,115
לחוד,115
מרע,115
מלאכות,115
מעלין,115
החדש,115
חומה,115
הקודש,114
עירובו,114
מקיש,114
שריפה,114
שוגג,114
כח,114
חבר,114
המדרש,114
בגד,114
ונכנס,114
קמשמע,113
לזו,113
באהל,113
הפרט,113
דההוא,113
יו"ט,113
קאמינא,113
לעובד,113
לכאן,113
גביה,113
דכיון,113
ת"ק,113
מצטרף,113
ואתו,113
מתניתא,113
שוין,113
יוחי,113
ואשה,113
אחריתי,113
שבין,113
נידון,113
לשנים,113
נר,112
כבודו,112
טריפה,112
אהא,112
לאשתו,112
ארישא,112
עשרון,112
החי,112
כופין,112
בראשית,112
מיעוט,112
מעשרה,112
למיפרך,112
רחמי,111
והולך,111
יוה"כ,111
בארבע,111
קורה,111
ואנא,111
פירי,111
איתיה,111
תינוק,111
בכך,111
משקה,111
בתריה,111
שוב,111
וריש,111
בבא,111
בשנה,111
נטל,111
להחזיר,111
וטמא,111
וארבע,110
מתכוין,110
תולה,110
הבעלים,110
ומצא,110
יסוד,110
חבורה,110
וראה,110
אביך,110
תתן,110
ברא,110
שריא,110
לחי,110
השמשות,109
שמנה,109
